Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Abanda CDP,67.2,30.2,0,0,1.6
AL,Abbeville city,54.4,41.4,0.1,1,3.1
AL,Adamsville city,52.3,44.9,0.5,0.3,2.3
AL,Addison town,99.1,0.1,0,0.1,0.4
AL,Akron town,13.2,86.5,0,0,0.3
AL,Alabaster city,79.4,13.5,0.4,0.9,9
AL,Albertville city,75.9,1.9,0.8,0.5,27.9
AL,Alexander City city,62.2,32,0.2,0.9,4.8
AL,Alexandria CDP,87.4,10.2,0.3,0.5,0.9
AK,Anderson city,87.8,1.6,2.8,0.8,3.7
AK,Angoon city,10.5,0.9,75.8,0,7.8
AK,Aniak city,20.4,0.2,69.5,0,1.2
AK,Anvik city,3.5,0,92.9,0,0
AK,Arctic Village CDP,4.6,0,88.8,0,0
AK,Atka city,4.9,0,95.1,0,0
AK,Atmautluak CDP,1.4,0.7,97.8,0,0
AK,Atqasuk city,6.9,0,92.3,0,0
AK,Attu Station CDP,90.5,0,4.8,0,19
AK,Badger CDP,83.8,2.7,4.9,1.7,4.5
AK,Barrow city,16.9,1,61.2,9.1,3.1
AK,Bear Creek CDP,80.9,0.6,10.7,1.6,1.8
AK,Beaver CDP,1.2,0,97.6,0,4.8
AK,Beluga CDP,90,0,10,0,0
AK,Bethel city,23.3,0.9,65,2.5,2.2
AK,Bettles city,75,8.3,0,0,0
AK,Big Delta CDP,92.6,0.2,2.4,0.3,1.5
AK,Big Lake CDP,86.1,0.2,7,0.5,3.1
AK,Birch Creek CDP,0,0,100,0,0
AK,Brevig Mission city,4.6,0.5,91.5,0,0.5
AK,Buckland city,2.6,0,95.4,0,0
AK,Buffalo Soapstone CDP,84.1,1.6,3.3,0.5,3.2
AK,Butte CDP,90.4,0.3,4.3,0.6,3.1
AK,Cantwell CDP,77.2,0.5,15.5,0,1.4
AK,Central CDP,92.7,0,4.2,0,1
AK,Chalkyitsik CDP,14.5,0,85.5,0,0
AK,Chase CDP,100,0,0,0,0
AK,Chefornak city,3.3,0.2,95.7,0,0
AK,Chena Ridge CDP,83.8,1.3,6.2,1.8,3.2
AK,Chenega CDP,39.5,0,52.6,0,2.6
AK,Chevak city,2.3,0,94.9,0.3,0.1
AK,Chickaloon CDP,86.4,0,6.3,0.7,1.5
AK,Chicken CDP,100,0,0,0,14.3
AK,Chignik city,34.1,0,57.1,3.3,1.1
AK,Chignik Lagoon CDP,20.5,0,62.8,1.3,3.8
AK,Chignik Lake CDP,2.7,0,94.5,0,0
AK,Chiniak CDP,91.5,0,4.3,0,0
AZ,Elgin CDP,91.3,1.2,0,1.2,14.3
AZ,El Mirage city,60.9,6.6,1.4,1.6,47.6
AZ,Eloy city,41.2,10.1,3.4,4.5,58
AZ,El Prado Estates CDP,77.6,0.8,0.6,1.2,84.5
AZ,First Mesa CDP,1.4,0,97.7,0.3,1
AZ,Flagstaff city,73.4,1.9,11.7,1.9,18.4
AZ,Florence town,63.4,6.3,14.4,0.9,31.2
AZ,Flowing Springs CDP,97.6,0,0,0,0
AZ,Flowing Wells CDP,77.7,1.7,2,1.2,36.3
AZ,Fort Apache CDP,9.8,0,86,0,14
AZ,Fort Defiance CDP,2.2,0.1,93.5,1.2,2.2
AZ,Fort Mohave CDP,88.6,0.9,1,1.5,15.6
AZ,Fort Thomas CDP,87.2,0,5.3,0.3,9.9
AZ,Fortuna Foothills CDP,87.5,1.2,0.9,1,20.1
AZ,Fort Valley CDP,95.1,0.3,1,0.3,6.8
AZ,Fountain Hills town,94.1,1,0.6,1.8,4.1
AZ,Franklin CDP,96.7,0,1.1,0,15.2
AZ,Fredonia town,89.1,0.2,7.7,0.3,3.7
AZ,Freedom Acres CDP,95.2,1.2,1.2,0,1.2
AZ,Gadsden CDP,60.3,0.4,0,0.1,97.1
AZ,Ganado CDP,5.9,0.2,90.7,0.9,2.8
AZ,Geronimo Estates CDP,98.3,0,0,0,5
AZ,Gila Bend town,56.1,1.7,6.3,0.6,65.4
AZ,Gila Crossing CDP,3.4,0.8,84.1,0,14.7
AZ,Gilbert town,81.8,3.4,0.8,5.8,14.9
AZ,Gisela CDP,94.7,0.4,2.3,0,4.4
AZ,Glendale city,67.8,6,1.7,3.9,35.5
AZ,Globe city,79.6,0.9,5.7,1.1,36.8
AZ,Gold Canyon CDP,94.6,1,0.4,0.8,5.5
AZ,Golden Shores CDP,94.2,0.3,1,0.3,7.7
AZ,Golden Valley CDP,90.9,0.5,1.5,0.9,10.5
AZ,Goodyear city,71.9,6.7,1.3,4.3,27.8
