Geographic Area,percent_completed_hs
TX,74.08694905552375
MS,78.4707182320442
GA,78.63444976076555
NM,78.97178329571106
LA,79.12236286919831
AZ,79.21818181818182
AR,79.94953789279113
AK,80.09802816901409
AL,80.1634188034188
SC,80.64570707070708
CA,80.82463863337713
TN,81.63116279069767
WV,82.14172839506173
KY,82.2175925925926
OK,82.46339165545088
MO,82.7945788964182
NC,83.13680649526387
WY,83.97401960784315
ID,84.41762114537444
VA,84.88026981450253
FL,85.45762527233116
SD,86.18286445012788
IN,86.31926470588235
NV,87.04580152671755
WA,87.07224880382776
ND,87.59625935162094
OR,87.60185676392574
KS,87.96785714285714
MD,88.08108108108108
OH,88.19917695473251
IL,88.28940058479532
DE,88.51948051948052
RI,88.82499999999999
CO,88.92620087336243
PA,88.9728717366629
MI,89.20765895953757
DC,89.3
MN,89.46555924695458
NE,89.52241379310345
UT,89.64461538461538
IA,89.66527777777779
VT,89.97685950413224
MT,89.99260273972604
WI,90.26396396396397
NJ,90.52055045871559
NY,90.53795986622073
NH,90.71134020618557
ME,91.43076923076923
CT,91.59166666666667
HI,91.66556291390728
MA,92.02845528455285
