Geographic Area,poverty_rate
NJ,8.16091743119266
WY,9.063725490196079
CT,9.1375
MA,9.546341463414635
MD,10.272393822393823
RI,10.369444444444445
NY,11.638963210702341
UT,11.724615384615385
ND,12.131920199501247
IA,12.23154761904762
NV,12.370992366412214
PA,12.48717366628831
DE,12.555844155844156
NH,12.65979381443299
WI,12.85868725868726
NE,12.91741379310345
CO,13.187772925764191
HI,13.400662251655628
MN,13.745736434108526
VT,13.785950413223139
IL,13.849342105263158
VA,14.5858347386172
KS,14.71904761904762
WA,14.825996810207336
OH,14.826666666666668
IN,15.49985294117647
SD,15.745268542199488
MT,16.423287671232877
OR,16.43580901856764
CA,16.888370565045992
ME,16.89384615384615
FL,17.508605664488016
MI,17.9007225433526
DC,18.0
ID,18.076211453744495
AK,18.678591549295774
TX,19.496222095020034
NC,19.720568335588634
TN,19.88720930232558
MO,19.930687318489838
KY,20.080000000000002
OK,20.545895020188425
AL,20.61179487179487
WV,21.08222222222222
SC,22.105555555555554
LA,22.291772151898734
NM,22.50767494356659
AR,22.963216266173752
GA,23.663636363636364
AZ,25.268070953436805
MS,26.88425414364641
